Algorithm,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
k-means,0.999,0.999,0.932,0.998,0.999,0.944,0.999,0.332,0.479,0.662,1.0,0.938,0.829,0.999,0.96,0.995
AHC,1.0,1.0,0.93,0.996,0.999,0.948,0.998,0.329,0.475,0.67,1.0,0.938,0.832,0.998,0.965,0.994
GMM,0.989,0.999,0.929,0.977,0.998,0.939,0.998,0.34,0.492,0.642,0.989,0.917,0.819,0.978,0.95,0.998
OPTICS,0.987,0.664,0.723,0.888,0.673,0.808,0.892,0.038,0.32,0.402,0.617,0.778,0.63,0.806,0.922,0.979
