Algorithm,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
k-means,0.448,0.37,0.42,0.441,0.406,0.426,0.445,0.013,0.011,0.036,0.252,0.244,0.248,0.251,0.279,0.37
AHC,0.23,0.257,0.22,0.246,0.341,0.258,0.204,0.0,0.0,0.003,0.231,0.23,0.212,0.134,0.136,0.214
GMM,0.312,0.363,0.284,0.389,0.401,0.4,0.342,0.013,0.01,0.036,0.24,0.241,0.249,0.251,0.264,0.307
OPTICS,0.0,0.079,0.078,0.0,0.024,0.016,0.0,0.0,0.0,0.0,0.043,0.043,0.0,0.0,0.0,0.0
