Algorithm,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
k-means,1.0,1.0,0.964,1.0,1.0,0.988,1.0,0.69,0.621,0.738,1.0,0.963,1.0,1.0,0.998,1.0
AHC,1.0,1.0,0.96,1.0,1.0,0.987,1.0,0.714,0.63,0.752,1.0,0.96,1.0,1.0,0.998,1.0
GMM,0.972,1.0,0.954,0.958,1.0,0.989,0.986,0.705,0.623,0.82,0.973,0.948,0.958,1.0,0.984,0.986
OPTICS,0.652,0.678,0.68,0.661,0.66,0.68,0.64,0.382,0.378,0.371,0.644,0.646,0.629,0.667,0.68,0.701
