Algorithm,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
k-means,1.0,1.0,0.994,1.0,1.0,1.0,1.0,0.789,0.741,0.806,1.0,0.972,1.0,1.0,1.0,1.0
AHC,1.0,1.0,0.991,1.0,1.0,1.0,1.0,0.784,0.743,0.808,1.0,0.966,1.0,1.0,1.0,1.0
GMM,0.973,1.0,0.992,0.972,1.0,1.0,1.0,0.81,0.756,0.866,1.0,0.968,1.0,1.0,1.0,1.0
OPTICS,0.701,0.682,0.687,0.701,0.596,0.693,0.628,0.502,0.468,0.45,0.66,0.646,0.626,0.717,0.693,0.682
