Method,Reduction,Win %,Avg Win/Loss %
PCA,k-1,20.0,-17.8
PCA,25%,20.0,-6.2
PCA,50%,30.0,-1.4
Kernel PCA,k-1,10.0,-9.2
Kernel PCA,25%,10.0,-4.9
Kernel PCA,50%,40.0,-0.8
VAE,k-1,0.0,-97.3
VAE,25%,0.0,-97.7
VAE,50%,0.0,-92.1
Isomap,k-1,30.0,-46.7
Isomap,25%,30.0,-49.0
Isomap,50%,30.0,-47.8
MDS,k-1,0.0,-46.2
MDS,25%,0.0,-40.4
MDS,50%,20.0,-17.3
