Algorithm,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
k-means,1.0,1.0,0.977,1.0,1.0,0.996,1.0,0.278,0.653,0.716,1.0,0.98,1.0,1.0,0.998,1.0
AHC,1.0,1.0,0.98,1.0,1.0,0.992,1.0,0.272,0.649,0.723,1.0,0.979,1.0,1.0,0.998,0.999
GMM,0.954,1.0,0.961,0.907,1.0,0.997,0.962,0.295,0.686,0.681,0.999,0.935,0.923,0.977,0.955,0.93
OPTICS,1.0,0.935,0.913,1.0,0.791,0.912,0.992,0.017,0.5,0.557,0.569,0.834,0.828,0.992,0.962,0.996
