Method,Reduction,Win %,Avg Win/Loss %
PCA,k-1,50.0,7.9
PCA,25%,40.0,7.8
PCA,50%,0.0,0.0
Kernel PCA,k-1,20.0,2.4
Kernel PCA,25%,10.0,1.6
Kernel PCA,50%,0.0,0.0
VAE,k-1,0.0,0.0
VAE,25%,0.0,0.0
VAE,50%,0.0,0.0
Isomap,k-1,10.0,4.3
Isomap,25%,10.0,4.3
Isomap,50%,0.0,0.0
MDS,k-1,0.0,0.0
MDS,25%,0.0,0.0
MDS,50%,0.0,0.0
