Method,Reduction,Win %,Avg Win/Loss %
PCA,k-1,40.0,157.0
PCA,25%,20.0,-21.7
PCA,50%,60.0,67.9
Kernel PCA,k-1,50.0,193.4
Kernel PCA,25%,40.0,202.7
Kernel PCA,50%,20.0,56.7
VAE,k-1,10.0,-73.0
VAE,25%,10.0,-77.7
VAE,50%,20.0,-68.1
Isomap,k-1,30.0,-26.4
Isomap,25%,30.0,-26.1
Isomap,50%,40.0,-19.7
MDS,k-1,20.0,-19.5
MDS,25%,20.0,-7.0
MDS,50%,40.0,82.4
