Method,Reduction,Win %,Avg Win/Loss %
PCA,k-1,0.0,0.0
PCA,25%,0.0,-3.6
PCA,50%,0.0,0.0
Kernel PCA,k-1,0.0,0.0
Kernel PCA,25%,0.0,-1.2
Kernel PCA,50%,0.0,0.0
VAE,k-1,0.0,-31.0
VAE,25%,0.0,-37.9
VAE,50%,0.0,-26.2
Isomap,k-1,0.0,0.0
Isomap,25%,0.0,-3.7
Isomap,50%,0.0,0.0
MDS,k-1,0.0,-0.1
MDS,25%,0.0,-0.2
MDS,50%,0.0,0.0
