Algorithm,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
k-means,0.149,0.15,0.149,0.148,0.141,0.13,0.143,0.036,0.032,0.024,0.245,0.258,0.244,0.142,0.128,0.146
AHC,0.137,0.137,0.119,0.119,0.135,0.133,0.143,0.028,0.026,0.026,0.245,0.231,0.223,0.106,0.128,0.132
GMM,0.142,0.151,0.149,0.153,0.143,0.117,0.127,0.028,0.032,0.021,0.3,0.272,0.265,0.136,0.138,0.15
OPTICS,0.0,0.071,0.118,0.084,0.067,0.202,0.272,0.001,0.005,0.003,0.052,0.104,0.068,0.062,0.023,0.002
