Method,Reduction,Win %,Avg Win/Loss %
PCA,k-1,10.0,3.9
PCA,25%,5.0,-1.2
PCA,50%,5.0,-1.3
Kernel PCA,k-1,10.0,3.9
Kernel PCA,25%,10.0,2.8
Kernel PCA,50%,10.0,2.5
VAE,k-1,5.0,-27.2
VAE,25%,5.0,-35.9
VAE,50%,5.0,-15.5
Isomap,k-1,10.0,0.7
Isomap,25%,5.0,-1.9
Isomap,50%,10.0,-0.8
MDS,k-1,10.0,3.9
MDS,25%,5.0,1.7
MDS,50%,5.0,1.9
