Algorithm,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
k-means,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.017,0.018,0.005,0.0,0.0,0.0,0.0,0.0,0.002
AHC,0.004,0.0,0.0,0.001,0.003,0.003,0.001,0.021,0.02,0.003,0.002,0.002,0.001,0.002,0.002,0.0
GMM,0.001,0.002,0.002,0.001,0.0,0.0,0.002,0.02,0.02,0.007,0.001,0.001,0.0,0.0,0.0,0.001
OPTICS,0.0,0.003,0.003,0.0,0.001,0.001,0.0,0.003,0.003,0.0,0.001,0.001,0.0,0.001,0.001,0.0
