Method,Reduction,Win %,Avg Win/Loss %
PCA,k-1,0.0,-40.0
PCA,25%,0.0,-40.0
PCA,50%,10.0,-39.9
Kernel PCA,k-1,0.0,-10.0
Kernel PCA,25%,0.0,-10.0
Kernel PCA,50%,0.0,-30.0
VAE,k-1,70.0,120.5
VAE,25%,60.0,120.4
VAE,50%,20.0,-19.9
Isomap,k-1,0.0,-20.0
Isomap,25%,0.0,-20.0
Isomap,50%,0.0,-30.0
MDS,k-1,0.0,-20.0
MDS,25%,0.0,-20.0
MDS,50%,0.0,-40.0
