Method,Reduction,Win %,Avg Win/Loss %
PCA,k-1,0.0,0.0
PCA,25%,0.0,-0.6
PCA,50%,0.0,0.0
Kernel PCA,k-1,0.0,0.0
Kernel PCA,25%,0.0,-0.1
Kernel PCA,50%,0.0,0.0
VAE,k-1,0.0,-21.1
VAE,25%,0.0,-25.9
VAE,50%,0.0,-19.4
Isomap,k-1,0.0,0.0
Isomap,25%,0.0,-2.8
Isomap,50%,0.0,0.0
MDS,k-1,0.0,0.0
MDS,25%,0.0,0.0
MDS,50%,0.0,0.0
