Method,Reduction,Win %,Avg Win/Loss %
PCA,k-1,0.0,-0.1
PCA,25%,0.0,-4.0
PCA,50%,0.0,0.0
Kernel PCA,k-1,0.0,0.0
Kernel PCA,25%,0.0,-1.3
Kernel PCA,50%,0.0,0.0
VAE,k-1,0.0,-28.6
VAE,25%,0.0,-37.0
VAE,50%,0.0,-24.8
Isomap,k-1,0.0,0.0
Isomap,25%,0.0,-4.0
Isomap,50%,0.0,0.0
MDS,k-1,0.0,0.0
MDS,25%,0.0,-0.3
MDS,50%,0.0,0.0
